 schemaname |            relname             | reltuples 
 public     | pollschoice                    |         0
 public     | pollsvote                      |         0
 public     | scframeworkversi_scproductvers |         0
 public     | shoppingitem                   |         0
 public     | scframeworkversion             |         0
 public     | sclicense                      |         0
 public     | sclicenses_scproductentries    |         0
 public     | shoppingitemfield              |         0
 public     | scproductentry                 |         0
 public     | scproductscreenshot            |         0
 public     | scproductversion               |         0
 public     | shoppingitemprice              |         0
 public     | shoppingcategory               |         0
 public     | shoppingorder                  |         0
 public     | shoppingcoupon                 |         0
 public     | shoppingorderitem              |         0
 public     | socialrelation                 |         0
 public     | sn_meetupsentry                |         0
 public     | sn_meetupsregistration         |         0
 public     | tasksreview                    |         0
 public     | sn_wallentry                   |         0
 public     | socialrequest                  |         0
 public     | tasksproposal                  |         0
 public     | usergroupgrouprole             |         0
 public     | useridmapper                   |         0
 public     | users_orgs                     |         0
 public     | users_teams                    |         0
 public     | usertracker                    |         0
 public     | usertrackerpath                |         0
 public     | webdavprops                    |         0
 public     | website                        |         0
 public     | wsrp_wsrpconsumer              |         0
 public     | wsrp_wsrpconsumerportlet       |         0
(232 rows)

