Id,Signatory,Language,Order,Action_Id,Climate_Hazard
72923,Autonomous Community of Andalusia,en,1,1,River flooding
72923,Autonomous Community of Andalusia,en,1,1,Heavy precipitation
72923,Autonomous Community of Andalusia,en,1,1,Drought
72923,Autonomous Community of Andalusia,en,2,2,"Other, please specify"
72923,Autonomous Community of Andalusia,en,2,2,Extreme heat
72923,Autonomous Community of Andalusia,en,3,3,Urban flooding
72923,Autonomous Community of Andalusia,en,3,3,Coastal flooding (incl. sea level rise)
72923,Autonomous Community of Andalusia,en,3,3,River flooding
72923,Autonomous Community of Andalusia,en,4,4,Soil degradation/erosion
72923,Autonomous Community of Andalusia,en,4,4,River flooding
72923,Autonomous Community of Andalusia,en,4,4,Water stress
72923,Autonomous Community of Andalusia,en,4,4,Heavy precipitation
72923,Autonomous Community of Andalusia,en,4,4,Increased water demand
72923,Autonomous Community of Andalusia,en,4,4,Drought
72923,Autonomous Community of Andalusia,en,5,5,Biodiversity loss
72923,Autonomous Community of Andalusia,en,5,5,Urban flooding
72923,Autonomous Community of Andalusia,en,5,5,Heat stress
72923,Autonomous Community of Andalusia,en,5,5,Loss of green space/green cover
72923,Autonomous Community of Andalusia,en,6,6,Soil degradation/erosion
72923,Autonomous Community of Andalusia,en,6,6,Coastal flooding (incl. sea level rise)
72923,Autonomous Community of Andalusia,en,6,6,River flooding
72923,Autonomous Community of Andalusia,en,6,6,Water stress
72923,Autonomous Community of Andalusia,en,6,6,Drought
72923,Autonomous Community of Andalusia,en,7,7,Heat stress
72923,Autonomous Community of Andalusia,en,7,7,Infectious disease
72923,Autonomous Community of Andalusia,en,7,7,Extreme heat
72923,Autonomous Community of Andalusia,en,7,7,Drought
72923,Autonomous Community of Andalusia,en,8,8,Extreme heat
72923,Autonomous Community of Andalusia,en,9,9,Biodiversity loss
72923,Autonomous Community of Andalusia,en,10,10,Biodiversity loss
72923,Autonomous Community of Andalusia,en,10,10,Loss of green space/green cover
72923,Autonomous Community of Andalusia,en,11,11,Coastal flooding (incl. sea level rise)
72923,Autonomous Community of Andalusia,en,11,11,Other coastal events
72923,Autonomous Community of Andalusia,en,12,12,Urban flooding
72923,Autonomous Community of Andalusia,en,12,12,Coastal flooding (incl. sea level rise)
72923,Autonomous Community of Andalusia,en,12,12,Other forms of climate-induced landscape shift/degradation
72923,Autonomous Community of Andalusia,en,13,13,Infectious disease
72923,Autonomous Community of Andalusia,en,14,14,Extreme heat
72927,Autonomous Community of Catalonia,en,2,2,Soil degradation/erosion
72927,Autonomous Community of Catalonia,en,2,2,Biodiversity loss
72927,Autonomous Community of Catalonia,en,2,2,Extreme heat
72927,Autonomous Community of Catalonia,en,2,2,Fire weather (risk of wildfires)
72927,Autonomous Community of Catalonia,en,2,2,Mass movement
72927,Autonomous Community of Catalonia,en,2,2,River flooding
72927,Autonomous Community of Catalonia,en,2,2,Heat stress
72927,Autonomous Community of Catalonia,en,2,2,Snow and ice
72927,Autonomous Community of Catalonia,en,2,2,Heavy precipitation
72927,Autonomous Community of Catalonia,en,2,2,Increased water demand
72927,Autonomous Community of Catalonia,en,2,2,Loss of green space/green cover
72927,Autonomous Community of Catalonia,en,2,2,Drought
72927,Autonomous Community of Catalonia,en,3,3,Biodiversity loss
72927,Autonomous Community of Catalonia,en,3,3,Soil degradation/erosion
72927,Autonomous Community of Catalonia,en,3,3,Fire weather (risk of wildfires)
72927,Autonomous Community of Catalonia,en,3,3,Water stress
