Id,Language,Signatory,Climate_Action_Plan_Id,Sector
31175,en,City of Paris,1,Construction
31175,en,City of Paris,1,Information and communication
31175,en,City of Paris,1,Waste management
31175,en,City of Paris,1,"Professional, scientific and technical activities"
31175,en,City of Paris,1,"Electricity, gas, steam and air conditioning supply"
31175,en,City of Paris,1,Conservation
46514,en,City of Porto,1,"Sewerage, wastewater management and remediation activities"
46514,en,City of Porto,1,Construction
46514,en,City of Porto,1,Information and communication
46514,en,City of Porto,1,Administrative and support service activities
46514,en,City of Porto,1,Education
46514,en,City of Porto,1,Waste management
46514,en,City of Porto,1,Human health and social work activities
46514,en,City of Porto,1,"Arts, entertainment and recreation"
46514,en,City of Porto,1,"Professional, scientific and technical activities"
46514,en,City of Porto,1,Water supply
46514,en,City of Porto,1,"Electricity, gas, steam and air conditioning supply"
46514,en,City of Porto,1,Accommodation and food service activities
46514,en,City of Porto,1,Conservation
46514,en,City of Porto,3,"Sewerage, wastewater management and remediation activities"
46514,en,City of Porto,3,Construction
46514,en,City of Porto,3,Waste management
46514,en,City of Porto,3,Education
46514,en,City of Porto,3,Human health and social work activities
46514,en,City of Porto,3,Transportation and storage
46514,en,City of Porto,3,Water supply
46514,en,City of Porto,3,"Electricity, gas, steam and air conditioning supply"
46514,en,City of Porto,5,Construction
46514,en,City of Porto,5,Information and communication
46514,en,City of Porto,5,Waste management
46514,en,City of Porto,5,Transportation and storage
46514,en,City of Porto,5,"Electricity, gas, steam and air conditioning supply"
46514,en,City of Porto,6,"Sewerage, wastewater management and remediation activities"
46514,en,City of Porto,6,Construction
46514,en,City of Porto,6,Information and communication
46514,en,City of Porto,6,Administrative and support service activities
46514,en,City of Porto,6,Education
46514,en,City of Porto,6,Waste management
46514,en,City of Porto,6,Human health and social work activities
46514,en,City of Porto,6,"Arts, entertainment and recreation"
46514,en,City of Porto,6,"Professional, scientific and technical activities"
46514,en,City of Porto,6,Water supply
46514,en,City of Porto,6,"Electricity, gas, steam and air conditioning supply"
46514,en,City of Porto,6,Accommodation and food service activities
46514,en,City of Porto,6,Conservation
36152,en,City of Tallinn,2,Information and communication
